filename,artist,title,style,genre,date,
52850.jpg,1a8d67dbb446bdc4298cc0be56932a38,"Rouen Cathedral, the Portal, Morning Effect",Impressionism,cityscape,1894,
36350.jpg,74a1dad53214d04514269a188f16683a,The netmender,Impressionism,genre painting,c.1883,
97356.jpg,1a8d67dbb446bdc4298cc0be56932a38,The Allee du Champ de Foire at Argenteuil,Impressionism,landscape,1874,
92192.jpg,a6027a4ba71b61a55ea598379c9d508c,Repetition of the Dance (detail),Impressionism,genre painting,1877,
98622.jpg,234c8d1df0b49b512791078cf00cf352,Under the bridge at Hampton Court,Impressionism,landscape,1874,
46324.jpg,234c8d1df0b49b512791078cf00cf352,The Road to Louveciennes Montbuisson,Impressionism,landscape,,
60641.jpg,3070182db82f8b5d908168d99bed421e,Houses in the snow print,Post-Impressionism,cityscape,,
79303.jpg,6d1602ad0e3630b17bc31d2aa383c2ce,Constant Lambert ,Post-Impressionism,portrait,1926,
3707.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Booth of La Goulue at the Foire du Trone (Dance at the Moulin Rouge),Post-Impressionism,genre painting,1895,
2165.jpg,3cc9a44380296d93e68b71a27643c25f,The Sailor,Post-Impressionism,portrait,c.1906,
46247.jpg,3cc9a44380296d93e68b71a27643c25f,Four Bathers,Post-Impressionism,genre painting,1880,
89801.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Woman brothel,Post-Impressionism,portrait,1894,
63504.jpg,3cc9a44380296d93e68b71a27643c25f,Bathers,Post-Impressionism,genre painting,1880,
75309.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Entrance to the Moulin de la Galette,Post-Impressionism,cityscape,1887,
52023.jpg,1a8d67dbb446bdc4298cc0be56932a38,Haystack at Giverny,Impressionism,landscape,1886,
21520.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Self-Portrait with Dark Felt Hat at the Easel,Post-Impressionism,self-portrait,1886,
21276.jpg,50591a7061fb340d875723f38e00cc3b,Spring on West 78th Street,Impressionism,cityscape,1905,
48925.jpg,db1318d32df7428076e03513ebf762bb,Breton harbour,Impressionism,landscape,c.1879,
51197.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Messaline (between two extras),Post-Impressionism,portrait,1901,
99737.jpg,58283b86fb4d7ffaf3449a2aeba7977d,"Summer Evening, France",Post-Impressionism,genre painting,1910,
99133.jpg,a6027a4ba71b61a55ea598379c9d508c,The Ballet Class,Impressionism,genre painting,1874,
52238.jpg,a6027a4ba71b61a55ea598379c9d508c,Portrait after a Costume Ball (Portrait of Madame Dietz Monnin),Impressionism,portrait,1879,
28824.jpg,1a8d67dbb446bdc4298cc0be56932a38,Haystacks,Impressionism,landscape,,
39573.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Jane Avril leaving the Moulin Rouge,Post-Impressionism,genre painting,1893,
90572.jpg,3cc9a44380296d93e68b71a27643c25f,The Temptation of St. Anthony,Impressionism,religious painting,c.1877,
35082.jpg,3cc9a44380296d93e68b71a27643c25f,"Compotier, Glass and Apples ",Post-Impressionism,still life,1880,
80463.jpg,3cc9a44380296d93e68b71a27643c25f,Portrait of Madame Cezanne ,Impressionism,portrait,1878,
26042.jpg,3cc9a44380296d93e68b71a27643c25f,Portrait of Victor Chocquet ,Impressionism,portrait,1877,
20090.jpg,3cc9a44380296d93e68b71a27643c25f,The pond of the Jas de Bouffan ,Impressionism,landscape,1878,
100236.jpg,bf1d0c9118c5c4d6973bfeb5d7657d83,Omnibus,Impressionism,genre painting,1893,
84011.jpg,3cc9a44380296d93e68b71a27643c25f,Self-portrait in front of olive wallpaper,Post-Impressionism,self-portrait,1881,
64864.jpg,3cc9a44380296d93e68b71a27643c25f,Self-Portrait,Post-Impressionism,self-portrait,1880,
16692.jpg,3cc9a44380296d93e68b71a27643c25f,Bathers,Impressionism,genre painting,1875,
86549.jpg,300c247c7a4d15b038983f91b1f837e2,The Nile at Aswan,Impressionism,landscape,1914,
20440.jpg,54e7b38b5c91716bd3ad99a0ab740a18,Portrait of an Actress in Eighteenth Century Dress,Impressionism,portrait,c.1883,
69147.jpg,b70aff441b90812382a59d08b01393f7,"Still Life with Leaves, Fruit and Flowers",Post-Impressionism,flower painting,1945,
75994.jpg,3cc9a44380296d93e68b71a27643c25f,Young Girl with a Doll,Post-Impressionism,portrait,c.1902,
71951.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,At the Cafe The Customer and the Anemic Cashier,Post-Impressionism,genre painting,1898,
8521.jpg,3cc9a44380296d93e68b71a27643c25f,Self-portrait,Impressionism,self-portrait,1875,
63776.jpg,3cc9a44380296d93e68b71a27643c25f,The Seine at Bercy,Impressionism,cityscape,1878,
98645.jpg,a6027a4ba71b61a55ea598379c9d508c,Woman Leaving Her Bath,Impressionism,nude painting (nu),1898,
78955.jpg,3cc9a44380296d93e68b71a27643c25f,Boy in a Red Vest ,Post-Impressionism,portrait,1888,
85174.jpg,3cc9a44380296d93e68b71a27643c25f,Boy in a Red Vest,Post-Impressionism,portrait,1890,
96135.jpg,3cc9a44380296d93e68b71a27643c25f,Madame Cezanne with a Yellow Armchair,Post-Impressionism,portrait,c.1890,
26697.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,The Lady of the Star Harbour,Post-Impressionism,portrait,1899,
16139.jpg,1a8d67dbb446bdc4298cc0be56932a38,Vetheuil,Impressionism,landscape,1879,
47767.jpg,3cc9a44380296d93e68b71a27643c25f,View of L'Estaque and Chateaux d'If,Post-Impressionism,landscape,1885,
20712.jpg,3cc9a44380296d93e68b71a27643c25f,Still Life with Flower Holder,Post-Impressionism,still life,1905,
84393.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,The Young Routy Céleyran,Post-Impressionism,portrait,1882,
70645.jpg,3cc9a44380296d93e68b71a27643c25f,Gardanne,Post-Impressionism,landscape,1890,
91127.jpg,234c8d1df0b49b512791078cf00cf352,Pont de Moret sur Loing,Impressionism,landscape,c.1885,
62534.jpg,a6027a4ba71b61a55ea598379c9d508c,Woman Having Her Hair Combed,Impressionism,nude painting (nu),1895,
67034.jpg,3cc9a44380296d93e68b71a27643c25f,Gardanne,Post-Impressionism,cityscape,1886,
46369.jpg,3cc9a44380296d93e68b71a27643c25f,Madame Cezanne in the Greenhouse,Post-Impressionism,portrait,c.1892,
41649.jpg,3cc9a44380296d93e68b71a27643c25f,View of Auvers,Impressionism,landscape,1873,
82975.jpg,3cc9a44380296d93e68b71a27643c25f,Forest,Post-Impressionism,landscape,c.1890,
61388.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Young Peasant Girl in a Straw Hat sitting in front of a wheatfield,Post-Impressionism,portrait,1890,
26275.jpg,3cc9a44380296d93e68b71a27643c25f,Houses at the L'Estaque,Post-Impressionism,landscape,1880,
27886.jpg,3cc9a44380296d93e68b71a27643c25f,The Pigeon Tower At Bellevue,Post-Impressionism,landscape,c.1890,
21133.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Maurice Joyant Somme bay,Post-Impressionism,genre painting,1900,
64467.jpg,3cc9a44380296d93e68b71a27643c25f,Still life with basket ,Post-Impressionism,still life,c.1890,
8605.jpg,3cc9a44380296d93e68b71a27643c25f,Woods with Millstone,Post-Impressionism,landscape,1894,
23858.jpg,3cc9a44380296d93e68b71a27643c25f,Bridge over the Marne,Post-Impressionism,landscape,1888,
29757.jpg,3cc9a44380296d93e68b71a27643c25f,Still Life with Plaster Cupid,Post-Impressionism,still life,1895,
91655.jpg,24ed88087b0ffeb763e89a197a5cde0d,In the Dining Room,Impressionism,genre painting,c.1875,
58658.jpg,bf1d0c9118c5c4d6973bfeb5d7657d83,Dance in Gopsmor,Impressionism,genre painting,1906,
98027.jpg,3cc9a44380296d93e68b71a27643c25f,Large Trees at Jas de Bouffan,Post-Impressionism,landscape,1887,
14705.jpg,a6027a4ba71b61a55ea598379c9d508c,Orchestra of the Opera,Impressionism,genre painting,1869,
61167.jpg,1a8d67dbb446bdc4298cc0be56932a38,Camille Monet and a Child in the Artist’s Garden in Argenteuil,Impressionism,portrait,1875,
25493.jpg,234c8d1df0b49b512791078cf00cf352,Church at Moret after the Rain,Impressionism,cityscape,1894,
11233.jpg,1a8d67dbb446bdc4298cc0be56932a38,Rouen Cathedral,Impressionism,cityscape,1893,
59845.jpg,59de3736472ee967b4997432abd29ef2,Mountain Landscape,Impressionism,landscape,c.1895,
76269.jpg,3cc9a44380296d93e68b71a27643c25f,Landscape ,Post-Impressionism,landscape,c.1882,
32237.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,In bed,Post-Impressionism,genre painting,1893,
87903.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Landscape with Couple Walking and Crescent Moon,Post-Impressionism,genre painting,1890,
77409.jpg,46200eee40e22039aef7a5944bb445c9,Hyacinths,Post-Impressionism,flower painting,c.1910,
95239.jpg,3cc9a44380296d93e68b71a27643c25f,The Blue Vase ,Post-Impressionism,still life,c.1887,
32186.jpg,3cc9a44380296d93e68b71a27643c25f,Little Girl with a Doll,Post-Impressionism,portrait,1904,
92319.jpg,3cc9a44380296d93e68b71a27643c25f,Portrait of the Artist's Son ,Post-Impressionism,portrait,c.1890,
71069.jpg,3cc9a44380296d93e68b71a27643c25f,Portrait of Louis Guillaume,Post-Impressionism,portrait,c.1880,
72602.jpg,234c8d1df0b49b512791078cf00cf352,Garden in Louveciennes in the Snow,Impressionism,cityscape,1874,
65427.jpg,3cc9a44380296d93e68b71a27643c25f,Seated Peasant,Post-Impressionism,portrait,1900,
59350.jpg,c4dd83cc13ff6d1e3f51c04aa4eaa877,Still life with milk,Post-Impressionism,still life,1905,
91991.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Portrait of Vincent van Gogh,Post-Impressionism,portrait,1887,
33800.jpg,6e0249627c61232a1a19cef6b86725cb,French Landscape,Impressionism,landscape,,
46083.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Self-portrait in front of a mirror,Impressionism,self-portrait,1883,
16134.jpg,3cc9a44380296d93e68b71a27643c25f,Self-Portrait with Beret,Post-Impressionism,self-portrait,1900,
75455.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Count Alphonse de Toulouse Lautrec driving a four horse hitch,Impressionism,genre painting,1881,
15562.jpg,1a8d67dbb446bdc4298cc0be56932a38,"Rouen Cathedral, evening, harmony in brown",Impressionism,cityscape,1894,
91548.jpg,3cbc8bc4a88d67bda34c2d436212e2cf,Mother with Child,Impressionism,genre painting,1865,
33283.jpg,4b0465826ffd6db797ea6f3a5898df79,Rue a Ennery,Post-Impressionism,cityscape,1912,
25955.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,On the Outskirts of Paris,Post-Impressionism,landscape,1887,
100283.jpg,3cc9a44380296d93e68b71a27643c25f,Road,Impressionism,landscape,1876,
100152.jpg,3cc9a44380296d93e68b71a27643c25f,Self-portrait in front of pink background,Impressionism,self-portrait,1875,
53388.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Japanese Vase with Roses and Anemones,Post-Impressionism,flower painting,1890,
37160.jpg,1a8d67dbb446bdc4298cc0be56932a38,"Weeping Willow, Giverny",Impressionism,landscape,1922,
93521.jpg,a6027a4ba71b61a55ea598379c9d508c,Singer in Green,Impressionism,portrait,1884,
85049.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Les Alyscamps,Post-Impressionism,cityscape,1888,
78280.jpg,a6027a4ba71b61a55ea598379c9d508c,Head of a Young Woman,Impressionism,portrait,1867,
11295.jpg,a6027a4ba71b61a55ea598379c9d508c,Edmond and Thérèse Morbilli,Impressionism,portrait,1867,
14061.jpg,4415dad1b56081b834a4542e511ae030,Women in white stockings,Post-Impressionism,genre painting,1924,
78914.jpg,821cc8348e92c1dd6e2308b4d578fa25,The Woman in Pink,Post-Impressionism,portrait,1908,
7614.jpg,a6027a4ba71b61a55ea598379c9d508c,Edmond Duranty,Impressionism,portrait,1879,
56418.jpg,3cbc8bc4a88d67bda34c2d436212e2cf,Pierrot with Guitar,Impressionism,genre painting,1869,
77677.jpg,821cc8348e92c1dd6e2308b4d578fa25,Portrait of Mrs. Dufy,Post-Impressionism,portrait,1930,
84017.jpg,a6027a4ba71b61a55ea598379c9d508c,The Dancing Examination,Impressionism,genre painting,1880,
44022.jpg,a6027a4ba71b61a55ea598379c9d508c,"Ballet Class, the Dance Hall",Impressionism,genre painting,1880,
9156.jpg,3cc9a44380296d93e68b71a27643c25f,Still Life with Curtain and Flowered Pitcher,Post-Impressionism,still life,1895,
25299.jpg,481c5c92d55717167e01821144a54635,The Hermitage at Pontoise,Impressionism,landscape,1874,
96231.jpg,3cc9a44380296d93e68b71a27643c25f,A Painter at Work,Impressionism,genre painting,1875,
42660.jpg,a6027a4ba71b61a55ea598379c9d508c,"Tuileries, the woman with a parasol",Impressionism,portrait,1877,
3603.jpg,dd4989789d310581024ae2b9203d5439,By the Water (Near the Lake),Impressionism,genre painting,c.1880,
28594.jpg,a6027a4ba71b61a55ea598379c9d508c,Helene Rouart in Her Father s Study,Impressionism,portrait,1886,
90352.jpg,6f80666437feea42f295cdc0f1eb4df9,Marina,Impressionism,marina,1898,
73057.jpg,821cc8348e92c1dd6e2308b4d578fa25,Nude,Post-Impressionism,nude painting (nu),1909,
69548.jpg,821cc8348e92c1dd6e2308b4d578fa25,Naked ,Post-Impressionism,nude painting (nu),1928,
63091.jpg,a6027a4ba71b61a55ea598379c9d508c,Dancers in Blue,Impressionism,genre painting,1895,
82842.jpg,a6027a4ba71b61a55ea598379c9d508c,At the Races,Impressionism,genre painting,c.1892,
23523.jpg,a6027a4ba71b61a55ea598379c9d508c,Dancer Posing,Impressionism,genre painting,1878,
47623.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Field with Flowers,Post-Impressionism,sketch and study,1888,
95494.jpg,a6027a4ba71b61a55ea598379c9d508c,The Pedicure,Impressionism,genre painting,1873,
50977.jpg,1a8d67dbb446bdc4298cc0be56932a38,Landscape near Montecarlo,Impressionism,landscape,1883,
58952.jpg,a6027a4ba71b61a55ea598379c9d508c,The Cup of Tea (Breakfast after Bathing),Impressionism,genre painting,1883,
26979.jpg,a6027a4ba71b61a55ea598379c9d508c,The Toilette,Impressionism,nude painting (nu),1897,
20745.jpg,a6027a4ba71b61a55ea598379c9d508c,Two Dancers on Stage,Impressionism,genre painting,1877,
58972.jpg,28af2c0bffbfe423dc5b8b9b6aaf2415,Sunset,Impressionism,landscape,,
5701.jpg,a6027a4ba71b61a55ea598379c9d508c,The Absinthe Drinker,Impressionism,genre painting,1876,
38252.jpg,1a8d67dbb446bdc4298cc0be56932a38,Trees in Bloom,Impressionism,landscape,1872,
76222.jpg,a6027a4ba71b61a55ea598379c9d508c,"After the Bath, Woman Drying Herself ",Impressionism,nude painting (nu),1892,
34888.jpg,1a8d67dbb446bdc4298cc0be56932a38,The Church at Varengeville,Impressionism,landscape,1882,
11308.jpg,1a8d67dbb446bdc4298cc0be56932a38,The Promenade near Limetz,Impressionism,genre painting,1887,
70292.jpg,f8eb8562e3a8e1961e35893052a3da7e,Before dusk,Impressionism,landscape,,
86389.jpg,1a8d67dbb446bdc4298cc0be56932a38,The Mannerport near Etretat,Impressionism,landscape,1886,
93339.jpg,0052cc81f35d53736ab860be16fc07f4,Paysage cubiste ,Post-Impressionism,landscape,1913,
40130.jpg,3cc9a44380296d93e68b71a27643c25f,The Obstpfluckerin,Impressionism,genre painting,1877,
4808.jpg,234c8d1df0b49b512791078cf00cf352,The Loing at Moret,Impressionism,landscape,1881,
97509.jpg,a6027a4ba71b61a55ea598379c9d508c,Diego Martelli ,Impressionism,portrait,1879,
9865.jpg,1a8d67dbb446bdc4298cc0be56932a38,Grainstack at Sunset,Impressionism,landscape,1891,
46066.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Still Life,Post-Impressionism,flower painting,1888,
15127.jpg,28af2c0bffbfe423dc5b8b9b6aaf2415,The Lake in the Forest,Impressionism,landscape,,
24766.jpg,50591a7061fb340d875723f38e00cc3b,Surf and Rocks,Impressionism,marina,1906,
95079.jpg,a6027a4ba71b61a55ea598379c9d508c,Self Portrait in a Soft Hat,Impressionism,self-portrait,1858,
10639.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Portrait of the Postman Joseph Roulin,Post-Impressionism,sketch and study,1888,
48691.jpg,c9380d13360b37f21cfd174d92a7247e,Duty boats in the bay,Post-Impressionism,marina,1934,
17274.jpg,c67e1b5f39902c7b8986d307344e4f21,Winter Landscape,Post-Impressionism,cityscape,1942,
25444.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Wheat Field with Sheaves and Arles in the Background ,Post-Impressionism,landscape,1888,
81334.jpg,24ed88087b0ffeb763e89a197a5cde0d,Hanging the Laundry out to Dry,Impressionism,landscape,1875,
53821.jpg,3cc9a44380296d93e68b71a27643c25f,Tulips in a Vase,Post-Impressionism,still life,1892,
70962.jpg,46200eee40e22039aef7a5944bb445c9,Primmeln in the basket,Post-Impressionism,flower painting,c.1912,
89047.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Madame Poupoule at Her Dressing Table,Post-Impressionism,genre painting,1898,
68067.jpg,821cc8348e92c1dd6e2308b4d578fa25,Landscape in Falaise,Post-Impressionism,landscape,1902,
43448.jpg,a6027a4ba71b61a55ea598379c9d508c,Jockeys before the Start with Flagpoll,Impressionism,genre painting,1879,
58184.jpg,46200eee40e22039aef7a5944bb445c9,Parrot tulips bloomed,Post-Impressionism,flower painting,c.1910,
76335.jpg,3cc9a44380296d93e68b71a27643c25f,Moulin de la Couleuvre at Pontoise,Post-Impressionism,landscape,1881,
31328.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Still Life Vase with Rose-Mallows,Post-Impressionism,flower painting,1890,
3266.jpg,a6027a4ba71b61a55ea598379c9d508c,Ballet Dancers in the Wings,Impressionism,genre painting,1900,
73793.jpg,c1f526286c85264efa11bab51eea383c,Still Life,Post-Impressionism,still life,1927,
71777.jpg,a6027a4ba71b61a55ea598379c9d508c,Seated Woman pulling her glove,Impressionism,genre painting,1890,
74279.jpg,dd1632620669a880e3fc3896547c10ce,"The Surgeon, Ferdinand Sauerbruch",Impressionism,portrait,1932,
80726.jpg,a6027a4ba71b61a55ea598379c9d508c,Ballet Scene from Robert la Diable,Impressionism,genre painting,1872,
30593.jpg,d77452b0e817e7cb88e30c4a5f5ca9ba,Bluebonnets at Late Afternoon,Impressionism,landscape,,
1171.jpg,a6027a4ba71b61a55ea598379c9d508c,"Dancers, Pink and Green",Impressionism,genre painting,1890,
57934.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Portrait of Eugene Boch,Post-Impressionism,portrait,1888,
33956.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,The Garden of Doctor Gachet at Auvers-sur-Oise,Post-Impressionism,landscape,1890,
57522.jpg,24ed88087b0ffeb763e89a197a5cde0d,Summer's Day,Impressionism,genre painting,1879,
19104.jpg,c4dd83cc13ff6d1e3f51c04aa4eaa877,"Still life with plant, lemon and orange",Post-Impressionism,still life,c.1906,
87410.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Sower,Post-Impressionism,genre painting,1888,
62512.jpg,3cc9a44380296d93e68b71a27643c25f,"Still life, pitcher and fruit",Post-Impressionism,still life,1894,
68102.jpg,7e4dc558dfaf1fde7eb908e370393d00,"Paris, a Rainy Day",Impressionism,genre painting,1877,
95505.jpg,1a8d67dbb446bdc4298cc0be56932a38,"Rouen Cathedral, Magic in Blue",Impressionism,cityscape,1894,
86518.jpg,842ee3eb69739667200e5b92cb398824,La rentrée,Post-Impressionism,genre painting,1927,
5742.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,"Harvest at La Crau, with Montmajour in the Background",Post-Impressionism,landscape,1888,
21408.jpg,842ee3eb69739667200e5b92cb398824,Itanhaém,Post-Impressionism,landscape,1949,
64247.jpg,a6027a4ba71b61a55ea598379c9d508c,Before the Curtain Call,Impressionism,genre painting,1892,
37227.jpg,a6027a4ba71b61a55ea598379c9d508c,Harlequin and Colombina,Impressionism,genre painting,1886,
47557.jpg,3cc9a44380296d93e68b71a27643c25f,Harlequin ,Post-Impressionism,genre painting,1890,
82422.jpg,28af2c0bffbfe423dc5b8b9b6aaf2415,The Tree,Impressionism,landscape,,
38309.jpg,234c8d1df0b49b512791078cf00cf352,Watermill near Moret by Alfred Sisley,Impressionism,landscape,,
57321.jpg,a6027a4ba71b61a55ea598379c9d508c,The Morning Bath,Impressionism,nude painting (nu),1883,
63410.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Haystacks in Provence,Post-Impressionism,landscape,1888,
41532.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,"At the Circus Fernando, the rider",Post-Impressionism,genre painting,1888,
10984.jpg,28af2c0bffbfe423dc5b8b9b6aaf2415,Biarritz,Impressionism,marina,,
80074.jpg,a6027a4ba71b61a55ea598379c9d508c,Ballet Scene from Robert la Diable (detail),Impressionism,genre painting,1872,
31811.jpg,38e14c2f533ff199174b1803c57c27e7,A Peasant in a Moored Barge,Impressionism,genre painting,1907,
1034.jpg,74a1dad53214d04514269a188f16683a,A View of Lake Brienz from Bodeli,Post-Impressionism,landscape,,
5202.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Still Life with Basket of Apples (to Lucien Pissarro),Post-Impressionism,still life,1887,
32232.jpg,1a8d67dbb446bdc4298cc0be56932a38,Jeanne-Marguerite Lecadre in the Garden,Impressionism,genre painting,1866,
70528.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Wheat Field with a Lark,Post-Impressionism,landscape,1887,
25303.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Still Life with Basket of Apples,Post-Impressionism,still life,1887,
43916.jpg,a6027a4ba71b61a55ea598379c9d508c,Rider in a Red Coat,Impressionism,genre painting,1868,
96548.jpg,d77452b0e817e7cb88e30c4a5f5ca9ba,Late Afternoon,Impressionism,landscape,1909,
60222.jpg,54e7b38b5c91716bd3ad99a0ab740a18,On the Thames,Impressionism,genre painting,c.1874,
39796.jpg,1a8d67dbb446bdc4298cc0be56932a38,Poplars at Giverny,Impressionism,landscape,1888,
98339.jpg,1a8d67dbb446bdc4298cc0be56932a38,Olive Tree Wood in the Moreno Garden,Impressionism,landscape,1884,
47239.jpg,c67e1b5f39902c7b8986d307344e4f21,Roses,Post-Impressionism,flower painting,1939,
41321.jpg,f02369856dac75a59c92393f5a1f1912,A Roman Aqueduct,Impressionism,landscape,c.1875,
88159.jpg,6f80666437feea42f295cdc0f1eb4df9,Atlantic coast near Benerville,Impressionism,landscape,1897,
11105.jpg,28af2c0bffbfe423dc5b8b9b6aaf2415,Boats on the Shore,Post-Impressionism,marina,,
50393.jpg,9c948f31fc16aca442cc91e7fe05fb95,Embarkation after Folkestone,Impressionism,genre painting,1869,
21498.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Restaurant de la Sirene at Asnieres,Post-Impressionism,cityscape,1887,
16846.jpg,a6027a4ba71b61a55ea598379c9d508c,Singer with a glove,Impressionism,portrait,1878,
80182.jpg,1a8d67dbb446bdc4298cc0be56932a38,"Saint-Lazare Station, Exterior View",Impressionism,cityscape,1877,
14872.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Arles View from the Wheat Fields,Post-Impressionism,landscape,1888,
73970.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,A Lane near Arles,Post-Impressionism,landscape,1888,
41943.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,"Vase with Lilacs, Daisies and Anemones",Post-Impressionism,flower painting,1887,
56523.jpg,7b5a9186df853ff921c211145ca5ab59,Negro boy on a bay horse,Impressionism,genre painting,,
43820.jpg,68cbc428edbcf480cbbb9a0e66e7046d,The Child`s Caress,Impressionism,genre painting,c.1890,
102168.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Entrance to a Quarry,Post-Impressionism,landscape,1889,
55401.jpg,c67e1b5f39902c7b8986d307344e4f21,Landscape from Balcic,Post-Impressionism,cityscape,1929,
26594.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Dr. Paul Gachet,Post-Impressionism,portrait,1890,
67335.jpg,c56bcab4b317984013ebef5d3c4b5906,A Summer Day,Impressionism,genre painting,1882,
36628.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Portrait of a Woman with a Red Ribbon,Post-Impressionism,portrait,1885,
98413.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Marguerite Gachet at the Piano,Post-Impressionism,genre painting,1890,
